排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
203,大众出版,BK1289,1524.44,-5.65,-0.37,113040056000,0.96,7,11,中原传媒,4.31,18,0.389
204,品牌化妆品,BK1498,1435.67,-5.34,-0.37,91935240000,1.94,4,4,丸美生物,5.14,8,0.5
205,多业态零售,BK1553,1383.27,-5.24,-0.38,65351506000,1.54,6,9,百联股份,1.97,15,0.4
206,综合Ⅲ,BK1627,11344.94,-46.27,-0.41,205732000000,1.56,5,13,综艺股份,3.28,18,0.278
207,综合,BK1217,11344.94,-46.27,-0.41,205732000000,1.56,5,13,综艺股份,3.28,18,0.278
208,综合Ⅱ,BK0539,11344.94,-46.27,-0.41,205732000000,1.56,5,13,综艺股份,3.28,18,0.278
209,化妆品,BK1252,2006.65,-8.27,-0.41,118476281000,1.68,6,9,丸美生物,5.14,15,0.4
210,固废治理,BK1389,2942.94,-12.58,-0.43,327911024000,2.26,17,16,大地海洋,4.79,33,0.515
211,小家电,BK1244,2135.24,-9.21,-0.43,192162035000,0.88,6,16,爱仕达,9.99,22,0.273
212,基础建设,BK1247,2089.07,-9.2,-0.44,770803824000,0.89,17,27,交建股份,10.09,44,0.386
213,化学原料,BK1019,1029.63,-4.55,-0.44,836638896000,1.96,28,34,振华股份,10.0,62,0.452
214,铝,BK1613,2622.41,-11.67,-0.44,800698720000,2.27,14,16,明泰铝业,3.11,30,0.467
215,数字芯片设计,BK1331,32093.51,-143.52,-0.45,5462638080000,4.37,16,33,江波龙,12.23,49,0.327
216,化妆品制造及其他,BK1497,2329.98,-10.67,-0.46,26541041000,1.29,2,5,锦盛新材,3.06,7,0.286
217,其他医疗服务,BK1599,3997.22,-18.93,-0.47,19836583000,1.79,1,3,南华生物,2.26,4,0.25
218,其他种植业,BK1516,790.66,-3.81,-0.48,36174756000,1.86,2,3,海南橡胶,1.63,5,0.4
219,冰洗,BK1449,1944.78,-9.4,-0.48,230915129000,1.35,6,3,长虹美菱,3.23,9,0.667
220,金属包装,BK1532,2961.99,-14.43,-0.48,55590594000,2.02,4,3,昇兴股份,3.23,7,0.571
221,影视动漫制作,BK1299,3202.38,-15.65,-0.49,127282286000,2.4,4,9,欢瑞世纪,9.94,13,0.308
222,其他农产品加工,BK1505,2228.63,-10.9,-0.49,65538402000,1.19,7,5,晨光生物,1.62,12,0.583
223,房地产综合服务,BK1342,1144.45,-6.01,-0.52,6381034000,1.73,1,1,中交发展,2.78,2,0.5
224,社会服务,BK1214,3954.36,-20.99,-0.53,483855152000,1.71,28,55,中公教育,10.0,83,0.337
225,其他养殖,BK1510,777.24,-4.14,-0.53,8254338000,1.01,1,2,华英农业,1.11,3,0.333
226,冶钢辅料,BK1372,6107.69,-32.75,-0.53,86699231000,1.81,3,1,鄂尔多斯,1.63,4,0.75
227,渔业,BK1260,861.65,-4.7,-0.54,15458697000,1.42,2,3,獐子岛,0.65,5,0.4
228,一般零售,BK0482,15477.46,-86.96,-0.56,413645136000,1.18,22,35,全新好,6.36,57,0.386
229,金融信息服务,BK1360,4589.36,-27.04,-0.59,35620662000,2.2,1,2,仁东控股,1.46,3,0.333
230,钢铁,BK0479,7694.34,-48.02,-0.62,828820928000,0.8,20,19,中信特钢,2.82,39,0.513
231,非运动服装,BK1352,2067.3,-12.97,-0.62,224733630000,1.52,14,23,ST际华,8.38,37,0.378
232,会展服务,BK1565,1065.52,-6.74,-0.63,14601748000,1.34,0,3,兰生股份,-0.42,3,0.0
233,电能综合服务,BK1373,3113.76,-19.76,-0.63,212654612000,1.05,3,12,三峡水利,4.9,15,0.2
234,燃气Ⅲ,BK1381,1801.81,-11.56,-0.64,269216160000,1.12,13,17,德龙汇能,9.99,30,0.433
235,燃气Ⅱ,BK1028,1801.81,-11.56,-0.64,269216160000,1.12,13,17,德龙汇能,9.99,30,0.433
236,风力发电,BK1374,1965.86,-12.74,-0.64,841397552000,1.3,3,12,龙源电力,2.41,15,0.2
237,汽车服务,BK1016,879.37,-5.79,-0.65,40286467000,1.05,2,7,国机汽车,2.81,9,0.222
238,房产租赁经纪,BK1341,1246.93,-8.24,-0.66,16977176000,1.46,0,3,世联行,-0.48,3,0.0
239,油田服务,BK1573,1479.88,-9.95,-0.67,146667809000,0.66,3,5,贝肯能源,9.98,8,0.375
240,学历教育,BK1558,1709.53,-11.5,-0.67,8801132000,1.35,0,2,凯文教育,-0.25,2,0.0
241,旅游零售Ⅲ,BK1549,5877.09,-41.32,-0.7,118998601000,1.11,1,1,中国中免,0.13,2,0.5
